Source Organization,Destination Customer,State,City,Zip Code,Sku,YEAR,MONTH,LOADTYPE,Shipment 24 Pk Eq,Total Spend
Niagara Mexico - Monterrey,CUSTOMER 6,JA,TLAJOMULCO DE ZUNIGA,45670,FNG00009,2017,1,Delivery,2100,27000
Niagara Mexico - Monterrey,CUSTOMER 6,MX,TULTITLAN,54945,FNG00009,2017,1,Delivery,3150,38400
Niagara Mexico - Monterrey,CUSTOMER 6,MX,TULTITLAN,54945,FNG00009,2017,2,Delivery,9450,142062.5
Niagara Mexico - Monterrey,CUSTOMER 6,MX,TULTITLAN,54945,FNG00009,2017,3,Delivery,1050,12800
Niagara Mexico - Monterrey,CUSTOMER 6,NL,GUADALUPE,67110,FNG00009,2017,1,Delivery,3150,9650
Niagara Mexico - Monterrey,CUSTOMER 6,NL,GUADALUPE,67110,FNG00009,2017,2,Delivery,8400,25768
Niagara Mexico - Monterrey,CUSTOMER 6,NL,GUADALUPE,67110,FNG00009,2017,3,Delivery,13650,61168
Niagara Mexico - Monterrey,CUSTOMER 1,JA,TLAJOMULCO DE ZUNIGA SAMS-6238,45679,FNG00011,2017,2,Delivery,20160,152584.5
Niagara Mexico - Monterrey,CUSTOMER 1,JA,TLAJOMULCO DE ZUNIGA SAMS-6238,45679,FNG00011,2017,3,Delivery,153600,1222049
Niagara Mexico - Monterrey,CUSTOMER 1,MX,CHALCO SAMS-7505,56640,FNG00011,2017,2,Delivery,13440,102208.5
Niagara Mexico - Monterrey,CUSTOMER 1,MX,CHALCO SAMS-7505,56640,FNG00011,2017,3,Delivery,101760,776625
Niagara Mexico - Monterrey,CUSTOMER 1,MX,CUAUTITLAN IZCALLI SAMS-6388,54769,FNG00011,2017,2,Delivery,24960,190286
Niagara Mexico - Monterrey,CUSTOMER 1,MX,CUAUTITLAN IZCALLI SAMS-6388,54769,FNG00011,2017,3,Delivery,238080,1840091.5
Niagara Mexico - Monterrey,CUSTOMER 1,NL,MONTERREY SAMS-4995,66550,FNG00011,2017,2,Delivery,36560.00001,52000
Niagara Mexico - Monterrey,CUSTOMER 1,NL,MONTERREY SAMS-4995,66550,FNG00011,2017,3,Delivery,291840.0001,395200
Niagara Mexico - Monterrey,CUSTOMER 1,SI,CULIACAN SAMS-4971,80130,FNG00011,2017,2,Delivery,32160.00001,635804
Niagara Mexico - Monterrey,CUSTOMER 1,SI,CULIACAN SAMS-4971,80130,FNG00011,2017,3,Delivery,224640,4175728
Niagara Mexico - Monterrey,CUSTOMER 1,TB,VILLAHERMOSA TAB. SAMS 6550,86280,FNG00011,2017,2,Delivery,19200,361320
Niagara Mexico - Monterrey,CUSTOMER 1,TB,VILLAHERMOSA TAB. SAMS 6550,86280,FNG00011,2017,3,Delivery,152160,3259690
Niagara Mexico - Monterrey,CUSTOMER 6,JA,TLAJOMULCO DE ZUNIGA,45670,FNG00012,2017,1,Delivery,4032,26300
Niagara Mexico - Monterrey,CUSTOMER 6,MX,TULTITLAN,54945,FNG00012,2017,1,Delivery,4032,25600
Niagara Mexico - Monterrey,CUSTOMER 6,MX,TULTITLAN,54945,FNG00012,2017,2,Delivery,2016,14620.5
Niagara Mexico - Monterrey,CUSTOMER 6,NL,GUADALUPE,67110,FNG00012,2017,1,Delivery,4032,7000
Niagara Mexico - Monterrey,CUSTOMER 6,NL,GUADALUPE,67110,FNG00012,2017,2,Delivery,8064,13150
Niagara Mexico - Monterrey,CUSTOMER 6,NL,GUADALUPE,67110,FNG00012,2017,3,Delivery,4032,7000
Niagara Mexico - Monterrey,CUSTOMER 3,JA,EL SALTO,45690,FNG00013,2017,1,Delivery,2016,15158
Niagara Mexico - Monterrey,CUSTOMER 3,JA,EL SALTO,45690,FNG00013,2017,2,Delivery,2016,12800
Niagara Mexico - Monterrey,CUSTOMER 3,JA,EL SALTO,45690,FNG00013,2017,3,Delivery,756,4800.000022
Niagara Mexico - Monterrey,CUSTOMER 3,MX,TEOLOYUCAN,54770,FNG00013,2017,1,Delivery,8064,51200
Niagara Mexico - Monterrey,CUSTOMER 3,MX,TEOLOYUCAN,54770,FNG00013,2017,2,Delivery,10836,72441
Niagara Mexico - Monterrey,CUSTOMER 3,MX,TEOLOYUCAN,54770,FNG00013,2017,3,Delivery,8232,58007.66668
Niagara Mexico - Monterrey,CUSTOMER 3,TB,VILLAHERMOSA,86280,FNG00013,2017,1,Delivery,4032,96800
Niagara Mexico - Monterrey,CUSTOMER 3,TB,VILLAHERMOSA,86280,FNG00013,2017,2,Delivery,6048,129960
Niagara Mexico - Monterrey,CUSTOMER 3,TB,VILLAHERMOSA,86280,FNG00013,2017,3,Delivery,6804,159393.7502
Niagara Mexico - Monterrey,CUSTOMER 1,JA,TLAJOMULCO DE ZUNIGA WM-7460,45670,FNG00014,2017,1,Delivery,4368,29250
Niagara Mexico - Monterrey,CUSTOMER 1,JA,TLAJOMULCO DE ZUNIGA WM-7460,45670,FNG00014,2017,2,Delivery,1428,10356.1875
Niagara Mexico - Monterrey,CUSTOMER 1,JA,TLAJOMULCO DE ZUNIGA WM-7460,45670,FNG00014,2017,2,Delivery,3192,23149.125
Niagara Mexico - Monterrey,CUSTOMER 1,JA,TLAJOMULCO DE ZUNIGA WM-7460,45670,FNG00014,2017,3,Delivery,5292,43414.83333
Niagara Mexico - Monterrey,CUSTOMER 1,JA,TLAJOMULCO DE ZUNIGA WM-7493,45679,FNG00014,2017,1,Delivery,6048,41620.5
Niagara Mexico - Monterrey,CUSTOMER 1,JA,TLAJOMULCO DE ZUNIGA WM-7493,45679,FNG00014,2017,2,Delivery,4788,34723.6875
Niagara Mexico - Monterrey,CUSTOMER 1,JA,TLAJOMULCO DE ZUNIGA WM-7493,45679,FNG00014,2017,3,Delivery,12348,91412.75
Niagara Mexico - Monterrey,CUSTOMER 1,MX,CHALCO WM-7459,56640,FNG00014,2017,1,Delivery,1344,9000
Niagara Mexico - Monterrey,CUSTOMER 1,MX,CHALCO WM-7471,56640,FNG00014,2017,1,Delivery,20244,149384.8125
Niagara Mexico - Monterrey,CUSTOMER 1,MX,CHALCO WM-7471,56640,FNG00014,2017,2,Delivery,11256,81631.125
Niagara Mexico - Monterrey,CUSTOMER 1,MX,CHALCO WM-7471,56640,FNG00014,2017,3,Delivery,22932,181200.2917
Niagara Mexico - Monterrey,CUSTOMER 1,MX,CUAUTITLAN IZCALLI WM-7457,54713,FNG00014,2017,1,Delivery,1260,8437.5
Niagara Mexico - Monterrey,CUSTOMER 1,MX,CUAUTITLAN IZCALLI WM-7457,54713,FNG00014,2017,2,Delivery,924,6701.0625
Niagara Mexico - Monterrey,CUSTOMER 1,MX,CUAUTITLAN IZCALLI WM-7464,54730,FNG00014,2017,1,Delivery,8904,59625
Niagara Mexico - Monterrey,CUSTOMER 1,MX,CUAUTITLAN IZCALLI WM-7464,54730,FNG00014,2017,2,Delivery,9492,83060.1875
Niagara Mexico - Monterrey,CUSTOMER 1,MX,CUAUTITLAN IZCALLI WM-7464,54730,FNG00014,2017,3,Delivery,21084,162074.3125
Niagara Mexico - Monterrey,CUSTOMER 1,MX,CUAUTITLAN IZCALLI WM-7482,54713,FNG00014,2017,1,Delivery,4620,30937.5
Niagara Mexico - Monterrey,CUSTOMER 1,MX,CUAUTITLAN IZCALLI WM-7482,54713,FNG00014,2017,2,Delivery,3528,25585.875
Niagara Mexico - Monterrey,CUSTOMER 1,MX,CUAUTITLAN IZCALLI WM-7482,54713,FNG00014,2017,3,Delivery,8484,64474.875
Niagara Mexico - Monterrey,CUSTOMER 1,MX,CUAUTITLAN IZCALLI WM-7494,54730,FNG00014,2017,1,Delivery,19572,131062.5
Niagara Mexico - Monterrey,CUSTOMER 1,MX,CUAUTITLAN IZCALLI WM-7494,54730,FNG00014,2017,2,Delivery,18900,136320.1875
Niagara Mexico - Monterrey,CUSTOMER 1,MX,CUAUTITLAN IZCALLI WM-7494,54730,FNG00014,2017,3,Delivery,19152,141427.2917
Niagara Mexico - Monterrey,CUSTOMER 1,NL,MONTERREY WM-7461,66550,FNG00014,2017,3,Delivery,840,1083.333333
Niagara Mexico - Monterrey,CUSTOMER 1,NL,MONTERREY WM-7490,66550,FNG00014,2017,1,Delivery,17304,25886
Niagara Mexico - Monterrey,CUSTOMER 1,NL,MONTERREY WM-7490,66550,FNG00014,2017,2,Delivery,16632,26791.33333
Niagara Mexico - Monterrey,CUSTOMER 1,NL,MONTERREY WM-7490,66550,FNG00014,2017,3,Delivery,37044,48874.83333
Niagara Mexico - Monterrey,CUSTOMER 1,SI,CULIACAN WM-7455,80130,FNG00014,2017,2,Delivery,1680,30918.33333
Niagara Mexico - Monterrey,CUSTOMER 1,SI,CULIACAN WM-7487,80130,FNG00014,2017,1,Delivery,14616,242029.5
Niagara Mexico - Monterrey,CUSTOMER 1,SI,CULIACAN WM-7487,80130,FNG00014,2017,2,Delivery,10836,180610.75
Niagara Mexico - Monterrey,CUSTOMER 1,SI,CULIACAN WM-7487,80130,FNG00014,2017,3,Delivery,18984,310712.8333
Niagara Mexico - Monterrey,CUSTOMER 1,TB,VILLAHERMOSA TAB. WM-7468,86280,FNG00014,2017,1,Delivery,11256,225958.3333
Niagara Mexico - Monterrey,CUSTOMER 1,TB,VILLAHERMOSA TAB. WM-7468,86280,FNG00014,2017,2,Delivery,8736,187720
Niagara Mexico - Monterrey,CUSTOMER 1,TB,VILLAHERMOSA TAB. WM-7468,86280,FNG00014,2017,3,Delivery,11928,256310
Niagara Mexico - Monterrey,CUSTOMER 1,TB,VILLAHERMOSA TABASCO WM 7453,86280,FNG00014,2017,1,Delivery,840,16666.66667
Niagara Mexico - Monterrey,CUSTOMER 1,JA,TLAJOMULCO DE ZUNIGA WM-7460,45670,FNG00015,2017,1,Delivery,5712,38250
Niagara Mexico - Monterrey,CUSTOMER 1,JA,TLAJOMULCO DE ZUNIGA WM-7460,45670,FNG00015,2017,2,Delivery,588,4264.3125
Niagara Mexico - Monterrey,CUSTOMER 1,JA,TLAJOMULCO DE ZUNIGA WM-7460,45670,FNG00015,2017,2,Delivery,2856,20712.375
Niagara Mexico - Monterrey,CUSTOMER 1,JA,TLAJOMULCO DE ZUNIGA WM-7460,45670,FNG00015,2017,3,Delivery,4788,40126.16667
Niagara Mexico - Monterrey,CUSTOMER 1,JA,TLAJOMULCO DE ZUNIGA WM-7493,45679,FNG00015,2017,2,Delivery,1260,9137.8125
Niagara Mexico - Monterrey,CUSTOMER 1,JA,TLAJOMULCO DE ZUNIGA WM-7493,45679,FNG00015,2017,3,Delivery,1764,13910.25
Niagara Mexico - Monterrey,CUSTOMER 1,MX,CHALCO WM-7459,56640,FNG00015,2017,1,Delivery,672,4500
Niagara Mexico - Monterrey,CUSTOMER 1,MX,CHALCO WM-7471,56640,FNG00015,2017,1,Delivery,5964,41856.1875
Niagara Mexico - Monterrey,CUSTOMER 1,MX,CHALCO WM-7471,56640,FNG00015,2017,2,Delivery,2856,20712.375
Niagara Mexico - Monterrey,CUSTOMER 1,MX,CHALCO WM-7471,56640,FNG00015,2017,3,Delivery,7308,61815.20833
Niagara Mexico - Monterrey,CUSTOMER 1,MX,CUAUTITLAN IZCALLI WM-7457,54713,FNG00015,2017,1,Delivery,2772,18562.5
Niagara Mexico - Monterrey,CUSTOMER 1,MX,CUAUTITLAN IZCALLI WM-7457,54713,FNG00015,2017,2,Delivery,1092,7919.4375
Niagara Mexico - Monterrey,CUSTOMER 1,MX,CUAUTITLAN IZCALLI WM-7464,54730,FNG00015,2017,1,Delivery,1176,7875
Niagara Mexico - Monterrey,CUSTOMER 1,MX,CUAUTITLAN IZCALLI WM-7464,54730,FNG00015,2017,2,Delivery,588,7332.8125
Niagara Mexico - Monterrey,CUSTOMER 1,MX,CUAUTITLAN IZCALLI WM-7464,54730,FNG00015,2017,3,Delivery,1428,26469.1875
Niagara Mexico - Monterrey,CUSTOMER 1,MX,CUAUTITLAN IZCALLI WM-7482,54713,FNG00015,2017,1,Delivery,1428,9562.5
Niagara Mexico - Monterrey,CUSTOMER 1,MX,CUAUTITLAN IZCALLI WM-7482,54713,FNG00015,2017,2,Delivery,2520,18275.625
Niagara Mexico - Monterrey,CUSTOMER 1,MX,CUAUTITLAN IZCALLI WM-7482,54713,FNG00015,2017,3,Delivery,5628,45727.125
Niagara Mexico - Monterrey,CUSTOMER 1,MX,CUAUTITLAN IZCALLI WM-7494,54730,FNG00015,2017,1,Delivery,4620,30937.5
Niagara Mexico - Monterrey,CUSTOMER 1,MX,CUAUTITLAN IZCALLI WM-7494,54730,FNG00015,2017,2,Delivery,3276,23384.8125
Niagara Mexico - Monterrey,CUSTOMER 1,MX,CUAUTITLAN IZCALLI WM-7494,54730,FNG00015,2017,3,Delivery,3024,22597.20833
Niagara Mexico - Monterrey,CUSTOMER 1,NL,MONTERREY WM-7461,66550,FNG00015,2017,3,Delivery,3192,4116.666667
Niagara Mexico - Monterrey,CUSTOMER 1,NL,MONTERREY WM-7490,66550,FNG00015,2017,1,Delivery,6888,10626
Niagara Mexico - Monterrey,CUSTOMER 1,NL,MONTERREY WM-7490,66550,FNG00015,2017,2,Delivery,5544,8516.666667
Niagara Mexico - Monterrey,CUSTOMER 1,NL,MONTERREY WM-7490,66550,FNG00015,2017,3,Delivery,9324,12329.16667
Niagara Mexico - Monterrey,CUSTOMER 1,SI,CULIACAN WM-7455,80130,FNG00015,2017,2,Delivery,336,6183.666667
Niagara Mexico - Monterrey,CUSTOMER 1,SI,CULIACAN WM-7487,80130,FNG00015,2017,1,Delivery,3528,58486.5
Niagara Mexico - Monterrey,CUSTOMER 1,SI,CULIACAN WM-7487,80130,FNG00015,2017,2,Delivery,1260,21001.25
Niagara Mexico - Monterrey,CUSTOMER 1,SI,CULIACAN WM-7487,80130,FNG00015,2017,3,Delivery,3192,53203.16667
Niagara Mexico - Monterrey,CUSTOMER 1,TB,VILLAHERMOSA TAB. WM-7468,86280,FNG00015,2017,1,Delivery,2856,57541.66667
Niagara Mexico - Monterrey,CUSTOMER 1,TB,VILLAHERMOSA TAB. WM-7468,86280,FNG00015,2017,2,Delivery,1344,28880
Niagara Mexico - Monterrey,CUSTOMER 1,TB,VILLAHERMOSA TAB. WM-7468,86280,FNG00015,2017,3,Delivery,2184,46930
Niagara Mexico - Monterrey,CUSTOMER 1,TB,VILLAHERMOSA TABASCO WM 7453,86280,FNG00015,2017,1,Delivery,1176,23333.33333
Niagara Mexico - Monterrey,CUSTOMER 2,NL,ESCOBEDO,66066,FNG00017,2017,1,Delivery,11520,19086
Niagara Mexico - Monterrey,CUSTOMER 2,NL,ESCOBEDO,66066,FNG00017,2017,2,Delivery,28799.99999,47076
Niagara Mexico - Monterrey,CUSTOMER 2,NL,ESCOBEDO,66066,FNG00017,2017,3,Delivery,40719.99999,67846.33334
Niagara Mexico - Monterrey,CUSTOMER 2,NL,ESCOBEDO,66066,FNG00018,2017,1,Delivery,40320,63298
Niagara Mexico - Monterrey,CUSTOMER 2,NL,ESCOBEDO,66066,FNG00018,2017,2,Delivery,32256,50576
Niagara Mexico - Monterrey,CUSTOMER 2,NL,ESCOBEDO,66066,FNG00018,2017,3,Delivery,62076,100505.6667
Niagara Mexico - Monterrey,CUSTOMER 3,JA,EL SALTO,45690,FNG00019,2017,1,Delivery,4032,12800
